,title,date,location,year,used,kms,import,style,gearBox,fuelEngine,exterior,interior,seats,doors,motivated,url
10,Xe Hyundai i10 Grand 1.0 AT 2017- 280 Triệu,Đăng ngày  9/11/2023. Xem 14 lượt,"Auto Thuỷ Nguyên  Điện thoại:  0982 897 225   Địa chỉ: 199 Phố Mới, Tân Dương, Thuỷ Nguyên Hải Phòng  Website: autothuynguyen.bonbanh.com",2017,Xe đã dùng,"63,000 Km",Nhập khẩu,Hatchback,Số tự động,Xăng  1.0 L,Đỏ,,5 chỗ,5 cửa,,https://bonbanh.com/xe-hyundai-i10-grand-1.0-at-2017-5290162
11,Xe Ford Everest Titanium 2.0L 4x4 AT 2018- 895 Triệu,Đăng ngày  9/11/2023. Xem 7 lượt,"Sài Gòn Ford Usedcar - CN Trần Hưng Đạo  Điện thoại:  0938 570 566   Địa chỉ: 6 Trần Hưng Đạo, phường Phạm Ngũ Lão, quận 1 TP HCM  Website: saigonfordusedcar-tranhungdao.bonbanh.com",2018,Xe đã dùng,"38,000 Km",Nhập khẩu,SUV,Số tự động,Dầu  2.0 L,Xanh,,7 chỗ,5 cửa,,https://bonbanh.com/xe-ford-everest-titanium-2.0l-4x4-at-2018-5285885
12,Xe Honda Brio RS 2019- 345 Triệu,Đăng ngày  9/11/2023. Xem 6 lượt,"Tuấn Dũng Auto  Điện thoại:  0975 981 386    Hoặc  0934 648 789    Địa chỉ: 68 Nguyễn Chánh, Yên Hoà, Cầu Giấy Hà Nội  Website: tuandungauto.bonbanh.com",2019,Xe đã dùng,"38,569 Km",Nhập khẩu,Hatchback,Số tự động,Xăng  1.2 L,Đỏ,,5 chỗ,5 cửa,,https://bonbanh.com/xe-honda-brio-rs-2019-5060422
13,Xe Ford EcoSport Titanium 1.5L AT 2018- 425 Triệu,Đăng ngày  9/11/2023. Xem 5 lượt,"Sài Gòn Ford Usedcar - CN Trần Hưng Đạo  Điện thoại:  0938 570 566   Địa chỉ: 6 Trần Hưng Đạo, phường Phạm Ngũ Lão, quận 1 TP HCM  Website: saigonfordusedcar-tranhungdao.bonbanh.com",2018,Xe đã dùng,"53,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  1.5 L,Trắng,,5 chỗ,5 cửa,,https://bonbanh.com/xe-ford-ecosport-titanium-1.5l-at-2018-5288259
14,Xe Ford EcoSport Titanium 1.5L AT 2014- 320 Triệu,Đăng ngày  9/11/2023. Xem 7 lượt,"Sài Gòn Ford Usedcar - CN Trần Hưng Đạo  Điện thoại:  0938 570 566   Địa chỉ: 6 Trần Hưng Đạo, phường Phạm Ngũ Lão, quận 1 TP HCM  Website: saigonfordusedcar-tranhungdao.bonbanh.com",2014,Xe đã dùng,"81,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  1.5 L,Trắng,,5 chỗ,5 cửa,,https://bonbanh.com/xe-ford-ecosport-titanium-1.5l-at-2014-5288143
15,Xe Mercedes Benz E class E300 AMG 2017- 1 Tỷ 330 Triệu,Đăng ngày  9/11/2023. Xem 7 lượt,"DSCars Auto  Điện thoại:  0943 966 666   Địa chỉ: 178 Lê Trọng Tấn, La Khê, Hà Đông Hà Nội  Website: dscarsauto-hanoi.bonbanh.com",2017,Xe đã dùng,"67,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Nâu,,5 chỗ,4 cửa,,https://bonbanh.com/xe-mercedes_benz-e_class-e300-amg-2017-5281342
16,Xe Mitsubishi Outlander 2.0 CVT 2022- 699 Triệu,Đăng ngày  9/11/2023. Xem 8 lượt,"Sài Gòn Car  Điện thoại:  0823 072 222   Địa chỉ: 613 Ql 13, P.hiệp Bình Phước, Thủ Đức TP HCM  Website: saigoncar.bonbanh.com",2022,Xe đã dùng,"56,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Trắng,,7 chỗ,5 cửa,,https://bonbanh.com/xe-mitsubishi-outlander-2.0-cvt-2022-5262383
17,Xe Mercedes Benz S class S400L 2017- 2 Tỷ 150 Triệu,Đăng ngày  9/11/2023. Xem 6 lượt,Bùi Linh  Điện thoại:     Địa chỉ: Cầu Giấy Hà Nội,2017,Xe đã dùng,"50,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  3.0 L,Trắng,,5 chỗ,4 cửa,,https://bonbanh.com/xe-mercedes_benz-s_class-s400l-2017-5035926
18,Xe Ford Focus Trend 1.6 AT 2015- 330 Triệu,Đăng ngày  9/11/2023. Xem 8 lượt,"Đức Anh Auto - Đà Nẵng  Điện thoại:  0936 013 969   Địa chỉ: 158 Đường 2/9, quận Hải Châu Đà Nẵng  Website: ducanhauto-danang.bonbanh.com",2015,Xe đã dùng,"39,000 Km",Lắp ráp trong nước,Hatchback,Số tự động,Xăng  1.6 L,Đỏ,,5 chỗ,5 cửa,,https://bonbanh.com/xe-ford-focus-trend-1.6-at-2015-5290159
19,Xe BMW 7 Series 750Li 2009- 539 Triệu,Đăng ngày  9/11/2023. Xem 7 lượt,"Auto Hồng Phúc  Điện thoại:  0909 937 666    Hoặc  0977 775 882    Địa chỉ: C5/15B, Bình Hưng, Bình Chánh TP HCM  Website: autohongphuc.bonbanh.com",2009,Xe đã dùng,1 Km,Nhập khẩu,Sedan,Số tự động,Xăng  4.4 L,Đen,,5 chỗ,4 cửa,,https://bonbanh.com/xe-bmw-7_series-750li-2009-4832437
20,Xe Toyota Innova 2.0E 2018- 475 Triệu,Đăng ngày  9/11/2023. Xem 6 lượt,"a Cương  Điện thoại:     Địa chỉ: Lạc Long Quân,  Tân Bình TP HCM",2018,Xe đã dùng,"70,000 Km",Lắp ráp trong nước,Crossover,Số tay,Xăng  2.0 L,Trắng,,8 chỗ,5 cửa,,https://bonbanh.com/xe-toyota-innova-2.0e-2018-5265060
21,Xe Toyota Yaris Cross 1.5 D-CVT 2023- 730 Triệu,Đăng ngày  9/11/2023. Xem 5 lượt,"Toyota Long Biên  Điện thoại:  0967 819 586   Địa chỉ: Số 7-9 đường Nguyễn Văn Linh, Phường Gia Thụy, Quận Long Biên Hà Nội  Website: toyotalongbien.bonbanh.com",2023,Xe mới,,Nhập khẩu,SUV,Số tự động,Xăng  1.5 L,Đỏ,,5 chỗ,5 cửa,,https://bonbanh.com/xe-toyota-yaris-cross-1.5-d-cvt-2023-5167800
22,Xe Toyota Camry 2.5HV 2023- 1 Tỷ 420 Triệu,Đăng ngày  9/11/2023. Xem 9 lượt,Tuấn Tú  Điện thoại:     Địa chỉ: Hà Nội Hà Nội   Xem gian hàng  ⇨,2023,Xe mới,,Nhập khẩu,Sedan,Số tự động,Hybrid  2.5 L,Đen,,5 chỗ,4 cửa,,https://bonbanh.com/xe-toyota-camry-2.5hv-2023-5259340
23,Xe Mazda 3 1.5L Deluxe 2021- 520 Triệu,Đăng ngày  9/11/2023. Xem 9 lượt,"Auto Thuỷ Nguyên  Điện thoại:  0982 897 225   Địa chỉ: 199 Phố Mới, Tân Dương, Thuỷ Nguyên Hải Phòng  Website: autothuynguyen.bonbanh.com",2021,Xe đã dùng,"46,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Trắng,,5 chỗ,4 cửa,,https://bonbanh.com/xe-mazda-3-1.5l-deluxe-2021-5290156
24,Xe Ford Explorer Limited 2.3L EcoBoost 2019- 1 Tỷ 250 Triệu,Đăng ngày  9/11/2023. Xem 13 lượt,"Ford Nam Sài Gòn Used car  Điện thoại:  0898 987 324   Địa chỉ: 161F Dạ Nam, Phường 03, Quận 8 TP HCM  Website: saigonford-usedcar-namsaigon.bonbanh.com",2019,Xe đã dùng,"52,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  2.3 L,Đen,,7 chỗ,5 cửa,,https://bonbanh.com/xe-ford-explorer-limited-2.3l-ecoboost-2019-5285274
25,Xe Ford Everest Wildtrak 2.0L 4x4 AT 2023- 1 Tỷ 409 Triệu,Đăng ngày  9/11/2023. Xem 14 lượt,"Hà Hoàng Hải  Điện thoại:     Địa chỉ: 168 Phạm Văn Đồng, Xuân Đỉnh, Bắc Từ Liêm Hà Nội   Xem gian hàng  ⇨",2023,Xe mới,,Nhập khẩu,SUV,Số tự động,Dầu  2.0 L,Vàng,,7 chỗ,5 cửa,,https://bonbanh.com/xe-ford-everest-wildtrak-2.0l-4x4-at-2023-5224712
26,Xe Mitsubishi Xpander 1.5 AT 2022- 520 Triệu,Đăng ngày  9/11/2023. Xem 6 lượt,Ninh Ngọc Huyền  Điện thoại:     Địa chỉ: Hà Nội Hà Nội,2022,Xe mới,,Nhập khẩu,SUV,Số tự động,Xăng  1.5 L,Bạc,,7 chỗ,5 cửa,,https://bonbanh.com/xe-mitsubishi-xpander-1.5-at-2022-5241091
27,Xe Honda Brio RS 2020- 376 Triệu,Đăng ngày  9/11/2023. Xem 5 lượt,"Fastcar Sài Gòn  Điện thoại:  0947 349 457   Địa chỉ: 642 Quốc Lộ 13, Hiệp Bình Phước, Thủ Đức TP HCM  Website: fastcar-saigon.bonbanh.com",2020,Xe đã dùng,"18,000 Km",Nhập khẩu,Hatchback,Số tự động,Xăng  1.2 L,Vàng,,5 chỗ,5 cửa,,https://bonbanh.com/xe-honda-brio-rs-2020-5283369
28,Xe Ford Ranger Wildtrak 2.2L 4x2 AT 2016- 485 Triệu,Đăng ngày  9/11/2023. Xem 8 lượt,Zin Auto  Điện thoại:  0988 999 396    Hoặc  0902 133 333    Địa chỉ: 627 Mê Linh - Khai Quang - Vĩnh Yên Vĩnh Phúc  Website: zinauto.bonbanh.com,2016,Xe đã dùng,"55,000 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu  2.2 L,Cam,,5 chỗ,4 cửa,,https://bonbanh.com/xe-ford-ranger-wildtrak-2.2l-4x2-at-2016-5282993
29,Xe Hyundai Creta Đặc biệt 1.5 AT 2022- 635 Triệu,Đăng ngày  9/11/2023. Xem 9 lượt,"An Nam Auto  Điện thoại:  0949 345 555   Địa chỉ: Số 69 Vũ Đức Thận,Việt Hưng,Long Biên Hà Nội Hà Nội  Website: annamauto.bonbanh.com",2022,Xe đã dùng,"17,000 Km",Nhập khẩu,Crossover,Số tự động,Xăng  1.5 L,Trắng,,5 chỗ,5 cửa,,https://bonbanh.com/xe-hyundai-creta-dac-biet-1.5-at-2022-5272710
30,Xe Mazda 6 2.5 AT 2014- 425 Triệu,Đăng ngày  9/11/2023. Xem 1 lượt,"CarsZone  Điện thoại:  0986 883 939   Địa chỉ: 114 Nguyễn Chánh, Cầu Giấy Hà Nội  Website: carszone.bonbanh.com",2014,Xe đã dùng,"65,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.5 L,Trắng,,5 chỗ,4 cửa,,https://bonbanh.com/xe-mazda-6-2.5-at-2014-5002637
31,Xe Toyota Avanza Premio 1.5 AT 2023- 598 Triệu,Đăng ngày  9/11/2023. Xem 5 lượt,"Toyota Long Biên  Điện thoại:  0967 819 586   Địa chỉ: Số 7-9 đường Nguyễn Văn Linh, Phường Gia Thụy, Quận Long Biên Hà Nội  Website: toyotalongbien.bonbanh.com",2023,Xe mới,,Lắp ráp trong nước,SUV,Số tự động,Xăng  1.5 L,Trắng,,7 chỗ,5 cửa,,https://bonbanh.com/xe-toyota-avanza-premio-1.5-at-2023-5225765
32,Xe Hyundai SantaFe Cao cấp 2.2L HTRAC 2023- 1 Tỷ 180 Triệu,Đăng ngày  9/11/2023. Xem 7 lượt,"Việt Hưng  Điện thoại:     Địa chỉ: 138 Phạm Văn Đồng, P.xuân Đỉnh, Q.bắc Từ Liêm Hà Nội   Xem gian hàng  ⇨",2023,Xe mới,,Lắp ráp trong nước,SUV,Số tự động,Dầu  2.2 L,Xanh,,7 chỗ,5 cửa,,https://bonbanh.com/xe-hyundai-santafe-cao-cap-2.2l-htrac-2023-5068118
33,Xe Lexus GX 460 2016- 2 Tỷ 800 Triệu,Đăng ngày  9/11/2023. Xem 5 lượt,"Đức Anh Auto - Đà Nẵng  Điện thoại:  0936 013 969   Địa chỉ: 158 Đường 2/9, quận Hải Châu Đà Nẵng  Website: ducanhauto-danang.bonbanh.com",2016,Xe đã dùng,"63,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  4.6 L,Đen,,7 chỗ,5 cửa,,https://bonbanh.com/xe-lexus-gx-460-2016-5278920
34,Xe Kia K3 Premium 2.0 AT 2022- 610 Triệu,Đăng ngày  9/11/2023. Xem 5 lượt,Auto 668  Điện thoại:  0982 991 668    Hoặc  0975 977 999    Địa chỉ: Số 689 - Lạc Long Quân - Q. Tây Hồ Hà Nội  Website: auto668.bonbanh.com,2022,Xe đã dùng,"10,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Ghi,,5 chỗ,4 cửa,,https://bonbanh.com/xe-kia-k3-premium-2.0-at-2022-5186737
35,Xe Mercedes Benz V class V250 AMG 2023- 3 Tỷ 669 Triệu,Đăng ngày  9/11/2023. Xem 7 lượt,"Nguyễn Cao Trí  Điện thoại:     Địa chỉ: 811-813 Nguyễn Văn Linh, Quận 7 TP HCM",2023,Xe đã dùng,"2,000 Km",Nhập khẩu,Van/Minivan,Số tự động,Xăng  2.0 L,Đen,,6 chỗ,5 cửa,,https://bonbanh.com/xe-mercedes_benz-v_class-v250-amg-2023-5123016
36,Xe Nissan Navara Pro-4X 2.3 AT 4WD 2022- 830 Triệu,Đăng ngày  9/11/2023. Xem 5 lượt,"Nissan Tây Hồ  Điện thoại:  0931 716 686   Địa chỉ: 189 Nghi Tàm, Phường Yên Phụ, Quận Tây Hồ Hà Nội  Website: nissantayho.bonbanh.com",2022,Xe mới,,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu  2.3 L,Xám,,5 chỗ,4 cửa,,https://bonbanh.com/xe-nissan-navara-pro-4x-2.3-at-4wd-2022-4496779
37,Xe Ferrari 488 GTB 2015- 13 Tỷ,Đăng ngày  9/11/2023. Xem 8 lượt,"Thắng Trần Auto  Điện thoại:  0989 856 338   Địa chỉ: 202/2 Đt 743, P. An Phú, Tp Thuận An Bình Dương  Website: thangtranauto.bonbanh.com",2015,Xe đã dùng,"46,000 Km",Nhập khẩu,Coupe,Số tự động,Xăng  3.9 L,Cam,,2 chỗ,2 cửa,,https://bonbanh.com/xe-ferrari-488-gtb-2015-5018423
38,Xe Ford Territory Titanium X 1.5 AT 2023- 850 Triệu,Đăng ngày  9/11/2023. Xem 12 lượt,"Trường Huy Auto  Điện thoại:  0972 111 116    Hoặc  0799 756 666    Địa chỉ: 190-192 Cổ Linh, Long Biên Hà Nội  Website: truonghuy-auto.bonbanh.com",2023,Xe đã dùng,0 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng  1.5 L,Trắng,,5 chỗ,5 cửa,,https://bonbanh.com/xe-ford-territory-titanium-x-1.5-at-2023-5280232
39,Xe Toyota Fortuner 2.7L 4x2 AT 2022- 1 Tỷ 48 Triệu,Đăng ngày  9/11/2023. Xem 6 lượt,"Auto 269  Điện thoại:  0949 675 555    Hoặc  0961 746 666    Địa chỉ: 269 Phạm Văn Đồng , Bắc Từ Liêm Hà Nội  Website: auto269.bonbanh.com",2022,Xe đã dùng,"37,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  2.7 L,Trắng,,7 chỗ,5 cửa,,https://bonbanh.com/xe-toyota-fortuner-2.7l-4x2-at-2022-5290155
40,Xe Ford Ranger XLS 2.2L 4x2 AT 2017- 455 Triệu,Đăng ngày  9/11/2023. Xem 6 lượt,"Siêu Thị Ô tô Ánh Lý  Điện thoại:  0377 818 888    Hoặc  0965 196 999    Địa chỉ: Khu 8 Sóc Đăng, thị trấn Đoan Hùng Phú Thọ  Website: otoanhly.bonbanh.com",2017,Xe đã dùng,"103,000 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu  2.2 L,Vàng,,5 chỗ,4 cửa,,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-at-2017-5014504
41,Xe Hyundai i10 1.2 AT 2023- 413 Triệu,Đăng ngày  9/11/2023. Xem 7 lượt,"Hyundai Ngọc An  Điện thoại:  0914 577 668   Địa chỉ: 327 quốc lộ 13, Hiệp Bình Phước, Tp. Thủ Đức TP HCM  Website: hyundai-ngocan.bonbanh.com",2023,Xe mới,,Lắp ráp trong nước,Hatchback,Số tự động,Xăng  1.25 L,Đỏ,,5 chỗ,5 cửa,,https://bonbanh.com/xe-hyundai-i10-1.2-at-2023-5097581
42,Xe Kia K3 2.0 AT 2015- 375 Triệu,Đăng ngày  9/11/2023. Xem 6 lượt,"Luxury Car  Điện thoại:  0943 545 555   Địa chỉ: Số 17A Vũ Đức Thận, Long Biên Hà Nội  Website: luxurycars.bonbanh.com",2015,Xe đã dùng,"90,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Đỏ,,5 chỗ,4 cửa,,https://bonbanh.com/xe-kia-k3-2.0-at-2015-5246390
43,Xe Mini Cooper 3 Door JCW 2022- 2 Tỷ 380 Triệu,Đăng ngày  9/11/2023. Xem 6 lượt,"Salon Oto Anh Châu  Điện thoại:  0967 186 186   Địa chỉ: 25-31 Dương Đức Hiền, p. Tây Thạnh, q. Tân Phú TP HCM  Website: otoanhchau.bonbanh.com",2022,Xe đã dùng,"6,868 Km",Nhập khẩu,Hatchback,Số tự động,Xăng  2.0 L,Xanh,,4 chỗ,3 cửa,,https://bonbanh.com/xe-mini-cooper-3-door-jcw-2022-5155767
44,Xe Hyundai Accent 1.4 AT 2023- 460 Triệu,Đăng ngày  9/11/2023. Xem 6 lượt,"Hyundai An Khánh - CN Lê Trọng Tấn  Điện thoại:  0586 212 888    Hoặc  0973 957 009    Địa chỉ: C24, Lô 1, KĐT Geleximco, Đường Lê Trọng Tấn, Q. Hà Đông Hà Nội  Website: hyundaiankhanh1s.bonbanh.com",2023,Xe mới,,Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.4 L,Đỏ,,5 chỗ,4 cửa,,https://bonbanh.com/xe-hyundai-accent-1.4-at-2023-5234915
45,Xe Kia Carnival Signature 2.2D 2022- 1 Tỷ 490 Triệu,Đăng ngày  9/11/2023. Xem 7 lượt,"Gia Nguyên Auto  Điện thoại:  0982 020 191    Hoặc  0973 533 366    Địa chỉ: 116 Nguyễn Văn Cừ, Long Biên Hà Nội  Website: gianguyenauto.bonbanh.com",2022,Xe đã dùng,"60,000 Km",Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu  2.2 L,Xanh,,7 chỗ,5 cửa,,https://bonbanh.com/xe-kia-carnival-signature-2.2d-2022-5002386
46,Xe Mitsubishi Xpander 1.5 AT 2021- 520 Triệu,Đăng ngày  9/11/2023. Xem 6 lượt,Nguyễn Đức Nghĩa  Điện thoại:     Địa chỉ: Long Biên Hà Nội   Xem gian hàng  ⇨,2021,Xe đã dùng,"69,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  1.5 L,Bạc,,7 chỗ,5 cửa,,https://bonbanh.com/xe-mitsubishi-xpander-1.5-at-2021-5289089
47,Xe Mazda CX5 2.5 AT 2016- 495 Triệu,Đăng ngày  9/11/2023. Xem 5 lượt,"An Hưng Car  Điện thoại:  0936 269 777   Địa chỉ: 416 Phúc Diễn , Xuân Phương , Nam Từ Liêm Hà Nội  Website: anhungcar.bonbanh.com",2016,Xe đã dùng,"126,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.5 L,Đen,,5 chỗ,5 cửa,,https://bonbanh.com/xe-mazda-cx5-2.5-at-2016-5275195
48,Xe Toyota Yaris 1.3 AT 2007- 210 Triệu,Đăng ngày  9/11/2023. Xem 5 lượt,Duy Hưng  Điện thoại:     Địa chỉ: Cầu Giấy Hà Nội   Xem gian hàng  ⇨,2007,Xe đã dùng,"100,000 Km",Nhập khẩu,Hatchback,Số tự động,Xăng  1.3 L,Bạc,,5 chỗ,5 cửa,,https://bonbanh.com/xe-toyota-yaris-1.3-at-2007-5210297
49,Xe Toyota Yaris 1.33 AT 2014- 499 Triệu,Đăng ngày  9/11/2023. Xem 5 lượt,"Đức Anh Auto - Đà Nẵng  Điện thoại:  0936 013 969   Địa chỉ: 158 Đường 2/9, quận Hải Châu Đà Nẵng  Website: ducanhauto-danang.bonbanh.com",2014,Xe đã dùng,"39,000 Km",Nhập khẩu,Hatchback,Số tự động,Xăng  1.3 L,Trắng,,5 chỗ,5 cửa,,https://bonbanh.com/xe-toyota-yaris-1.33-at-2014-5283424
50,Xe Hyundai Custin Tiêu Chuẩn 1.5T 2023- 850 Triệu,Đăng ngày  9/11/2023. Xem 8 lượt,"Hyundai Ngọc An  Điện thoại:  0914 577 668   Địa chỉ: 327 quốc lộ 13, Hiệp Bình Phước, Tp. Thủ Đức TP HCM  Website: hyundai-ngocan.bonbanh.com",2023,Xe mới,,Lắp ráp trong nước,Van/Minivan,Số tự động,Xăng  1.5 L,Xanh,,7 chỗ,5 cửa,,https://bonbanh.com/xe-hyundai-custin-tieu-chuan-1.5t-2023-5196609
51,Xe Hyundai Tucson 1.6 AT Turbo HTRAC Đặc biệt 2023- 899 Triệu,Đăng ngày  9/11/2023. Xem 10 lượt,"Hyundai Ngọc An  Điện thoại:  0914 577 668   Địa chỉ: 327 quốc lộ 13, Hiệp Bình Phước, Tp. Thủ Đức TP HCM  Website: hyundai-ngocan.bonbanh.com",2023,Xe mới,,Lắp ráp trong nước,Crossover,Số tự động,Xăng  1.6 L,Xanh,,5 chỗ,5 cửa,,https://bonbanh.com/xe-hyundai-tucson-1.6-at-turbo-htrac-dac-biet-2023-5285147
52,Xe Toyota Prado TXL 2.7L 2012- 820 Triệu,Đăng ngày  9/11/2023. Xem 8 lượt,"GT Car Cộng Hòa  Điện thoại:  0902 172 468    Hoặc  0366 883 888    Địa chỉ: 22a Cộng Hòa, Phương 4, Quận Tân Bình TP HCM  Website: gtcarconghoa.bonbanh.com",2012,Xe đã dùng,"100,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  2.7 L,Cát,,7 chỗ,5 cửa,,https://bonbanh.com/xe-toyota-prado-txl-2.7l-2012-5199805
